protocolo,cliente,categoria,atendente,prioridade,status,tempo_min
C085,Cliente 13,Reclamação,Atendente 02,Alta,Aberto,148
C086,Cliente 33,Cadastro,Atendente 12,Alta,Escalado,131
C087,Cliente 41,Técnico,Atendente 07,Alta,Escalado,26
C088,Cliente 35,Reclamação,Atendente 07,Média,Aberto,133
C089,Cliente 49,Cadastro,Atendente 10,Alta,Aberto,22
C090,Cliente 28,Financeiro,Atendente 12,Alta,Escalado,139
C091,Cliente 34,Dúvida,Atendente 06,Baixa,Aberto,66
C092,Cliente 43,Reclamação,Atendente 10,Alta,Resolvido,163
C093,Cliente 02,Entrega,Atendente 10,Média,Aberto,177
C094,Cliente 49,Financeiro,Atendente 10,Baixa,Resolvido,105
C095,Cliente 41,Cadastro,Atendente 11,Alta,Resolvido,152
C096,Cliente 23,Dúvida,Atendente 03,Alta,Escalado,177
C097,Cliente 37,Reclamação,Atendente 12,Alta,Escalado,54
C098,Cliente 03,Dúvida,Atendente 04,Baixa,Aberto,129
C099,Cliente 33,Cadastro,Atendente 04,Média,Escalado,127
C100,Cliente 45,Cadastro,Atendente 07,Média,Resolvido,93
C101,Cliente 48,Financeiro,Atendente 01,Média,Escalado,79
C102,Cliente 28,Dúvida,Atendente 04,Alta,Resolvido,96
C103,Cliente 31,Reclamação,Atendente 10,Baixa,Aberto,180
C104,Cliente 48,Técnico,Atendente 06,Média,Resolvido,42
C105,Cliente 41,Técnico,Atendente 12,Baixa,Resolvido,102
C106,Cliente 19,Dúvida,Atendente 03,Alta,Aberto,148
C107,Cliente 07,Reclamação,Atendente 06,Alta,Resolvido,19
C108,Cliente 50,Técnico,Atendente 01,Baixa,Escalado,171
C109,Cliente 34,Técnico,Atendente 01,Média,Escalado,179
C110,Cliente 48,Financeiro,Atendente 09,Média,Aberto,43
C111,Cliente 26,Dúvida,Atendente 02,Média,Aberto,147
C112,Cliente 10,Reclamação,Atendente 09,Baixa,Resolvido,34
C113,Cliente 27,Financeiro,Atendente 06,Média,Escalado,129
C114,Cliente 21,Financeiro,Atendente 07,Alta,Resolvido,130
C115,Cliente 35,Técnico,Atendente 05,Baixa,Aberto,139
C116,Cliente 33,Reclamação,Atendente 09,Média,Aberto,168
C117,Cliente 08,Financeiro,Atendente 11,Baixa,Aberto,79
C118,Cliente 50,Financeiro,Atendente 08,Média,Escalado,56
C119,Cliente 34,Dúvida,Atendente 01,Média,Escalado,117
C120,Cliente 44,Dúvida,Atendente 11,Baixa,Resolvido,35
C121,Cliente 26,Reclamação,Atendente 08,Média,Escalado,114
C122,Cliente 33,Técnico,Atendente 06,Alta,Escalado,105
C123,Cliente 39,Reclamação,Atendente 08,Alta,Aberto,179
C124,Cliente 26,Reclamação,Atendente 06,Baixa,Escalado,144
C125,Cliente 43,Reclamação,Atendente 03,Média,Escalado,48
C126,Cliente 19,Cadastro,Atendente 03,Alta,Aberto,75
C127,Cliente 32,Financeiro,Atendente 03,Média,Aberto,47
C128,Cliente 16,Técnico,Atendente 10,Média,Escalado,117
C129,Cliente 39,Cadastro,Atendente 07,Alta,Aberto,143
C130,Cliente 09,Dúvida,Atendente 11,Média,Aberto,59
C131,Cliente 47,Dúvida,Atendente 10,Média,Resolvido,16
C132,Cliente 04,Cadastro,Atendente 07,Alta,Escalado,101
C133,Cliente 31,Técnico,Atendente 08,Baixa,Escalado,76
C134,Cliente 31,Financeiro,Atendente 05,Baixa,Escalado,166
C135,Cliente 46,Cadastro,Atendente 07,Baixa,Aberto,176
C136,Cliente 02,Cadastro,Atendente 03,Baixa,Resolvido,35
C137,Cliente 27,Cadastro,Atendente 04,Alta,Resolvido,162
C138,Cliente 07,Cadastro,Atendente 12,Média,Resolvido,139
C139,Cliente 38,Entrega,Atendente 03,Média,Escalado,101
C140,Cliente 44,Dúvida,Atendente 11,Baixa,Aberto,41
C141,Cliente 38,Técnico,Atendente 06,Média,Aberto,136
C142,Cliente 49,Financeiro,Atendente 10,Baixa,Aberto,164
C143,Cliente 20,Financeiro,Atendente 06,Alta,Escalado,88
C144,Cliente 42,Cadastro,Atendente 01,Média,Escalado,46
C145,Cliente 48,Técnico,Atendente 01,Baixa,Escalado,30
C146,Cliente 47,Reclamação,Atendente 01,Alta,Aberto,79
C147,Cliente 23,Dúvida,Atendente 03,Alta,Aberto,149
C148,Cliente 35,Cadastro,Atendente 03,Média,Resolvido,180
C149,Cliente 41,Técnico,Atendente 02,Alta,Escalado,90
C150,Cliente 11,Técnico,Atendente 11,Alta,Resolvido,40
C151,Cliente 43,Reclamação,Atendente 03,Baixa,Escalado,95
C152,Cliente 25,Financeiro,Atendente 09,Média,Escalado,5
C153,Cliente 48,Entrega,Atendente 05,Média,Aberto,107
C154,Cliente 05,Dúvida,Atendente 10,Média,Resolvido,136
C155,Cliente 44,Reclamação,Atendente 03,Média,Resolvido,30
C156,Cliente 17,Dúvida,Atendente 11,Baixa,Escalado,103
C157,Cliente 38,Entrega,Atendente 01,Média,Escalado,122
C158,Cliente 33,Financeiro,Atendente 01,Baixa,Resolvido,119
C159,Cliente 47,Cadastro,Atendente 04,Baixa,Resolvido,45
C160,Cliente 08,Cadastro,Atendente 07,Baixa,Escalado,124
C161,Cliente 48,Financeiro,Atendente 11,Média,Resolvido,22
C162,Cliente 11,Técnico,Atendente 09,Alta,Escalado,104
C163,Cliente 05,Entrega,Atendente 02,Alta,Resolvido,142
C164,Cliente 25,Cadastro,Atendente 05,Média,Resolvido,135
C165,Cliente 01,Dúvida,Atendente 04,Alta,Escalado,15
C166,Cliente 48,Reclamação,Atendente 09,Média,Resolvido,19
C167,Cliente 38,Cadastro,Atendente 12,Baixa,Escalado,16
C168,Cliente 18,Cadastro,Atendente 02,Baixa,Aberto,22
C169,Cliente 16,Cadastro,Atendente 08,Alta,Resolvido,162
C170,Cliente 33,Cadastro,Atendente 03,Baixa,Aberto,46
C056,Cliente 13,Financeiro,Atendente 01,Média,Escalado,146
C057,Cliente 37,Entrega,Atendente 01,Baixa,Resolvido,33
C058,Cliente 09,Técnico,Atendente 06,Alta,Escalado,23
C059,Cliente 01,Cadastro,Atendente 08,Média,Aberto,102
C060,Cliente 13,Técnico,Atendente 11,Baixa,Resolvido,174
