id_viagem,id_linha,motorista,origem,horario,passageiros
V086,L02,Motorista 01,Bairro B,06:30,10
V087,L04,Motorista 05,Centro,17:30,21
V088,L04,Motorista 03,Bairro A,06:30,40
V089,L02,Motorista 03,Universidade,19:00,68
V090,L04,Motorista 03,Rodoviária,12:00,68
V091,L03,Motorista 11,Rodoviária,17:30,34
V092,L05,Motorista 06,Bairro A,17:30,28
V093,L03,Motorista 10,Centro,06:30,45
V094,L02,Motorista 06,Bairro B,06:30,16
V095,L01,Motorista 03,Bairro A,12:00,10
V096,L05,Motorista 06,Rodoviária,06:30,49
V097,L01,Motorista 03,Centro,12:00,40
V098,L03,Motorista 06,Centro,08:00,49
V099,L02,Motorista 09,Bairro B,19:00,69
V100,L02,Motorista 07,Bairro B,12:00,59
V101,L02,Motorista 08,Universidade,12:00,41
V102,L02,Motorista 13,Bairro B,12:00,29
V103,L02,Motorista 02,Universidade,12:00,54
V104,L04,Motorista 11,Bairro A,08:00,68
V105,L02,Motorista 01,Rodoviária,08:00,38
V106,L02,Motorista 13,Bairro A,06:30,57
V107,L05,Motorista 03,Bairro B,08:00,35
V108,L05,Motorista 04,Centro,12:00,28
V109,L05,Motorista 06,Rodoviária,19:00,61
V110,L05,Motorista 10,Centro,19:00,62
V111,L05,Motorista 03,Centro,08:00,52
V112,L03,Motorista 15,Rodoviária,17:30,41
V113,L04,Motorista 05,Universidade,06:30,57
V114,L01,Motorista 05,Rodoviária,17:30,11
V115,L04,Motorista 05,Rodoviária,06:30,15
V116,L04,Motorista 07,Centro,08:00,33
V117,L01,Motorista 10,Bairro A,19:00,67
V118,L01,Motorista 02,Rodoviária,19:00,29
V119,L02,Motorista 10,Rodoviária,06:30,19
V120,L05,Motorista 04,Bairro A,08:00,24
V121,L04,Motorista 11,Bairro A,19:00,30
V122,L05,Motorista 12,Centro,19:00,57
V123,L02,Motorista 01,Centro,06:30,43
V124,L01,Motorista 09,Rodoviária,12:00,28
V125,L04,Motorista 10,Bairro A,19:00,16
V126,L03,Motorista 15,Rodoviária,19:00,62
V127,L04,Motorista 02,Universidade,06:30,40
V128,L04,Motorista 01,Centro,17:30,59
V129,L03,Motorista 12,Bairro A,12:00,42
V130,L02,Motorista 12,Rodoviária,08:00,28
V131,L01,Motorista 14,Bairro A,19:00,47
V132,L04,Motorista 14,Centro,19:00,18
V133,L05,Motorista 10,Rodoviária,17:30,36
V134,L05,Motorista 14,Centro,12:00,34
V135,L04,Motorista 08,Rodoviária,06:30,62
V136,L02,Motorista 08,Bairro B,12:00,5
V137,L04,Motorista 13,Rodoviária,12:00,19
V138,L05,Motorista 06,Universidade,17:30,61
V139,L03,Motorista 10,Bairro B,17:30,26
V140,L03,Motorista 02,Universidade,06:30,17
V141,L03,Motorista 09,Centro,17:30,17
V142,L02,Motorista 12,Centro,12:00,46
V143,L02,Motorista 10,Bairro A,19:00,26
V144,L04,Motorista 06,Universidade,08:00,68
V145,L02,Motorista 07,Centro,19:00,14
V146,L01,Motorista 06,Centro,08:00,66
V147,L05,Motorista 05,Universidade,08:00,11
V148,L03,Motorista 03,Rodoviária,12:00,57
V149,L04,Motorista 02,Centro,12:00,8
V150,L05,Motorista 10,Rodoviária,08:00,15
V151,L04,Motorista 09,Centro,08:00,25
V152,L05,Motorista 06,Universidade,08:00,61
V153,L04,Motorista 12,Universidade,19:00,51
V154,L04,Motorista 10,Bairro B,08:00,64
V155,L02,Motorista 12,Centro,12:00,29
V156,L02,Motorista 03,Centro,17:30,46
V157,L05,Motorista 05,Centro,08:00,32
V158,L01,Motorista 10,Rodoviária,19:00,26
V159,L05,Motorista 11,Bairro B,06:30,36
V160,L03,Motorista 15,Centro,17:30,59
V161,L01,Motorista 08,Bairro B,17:30,58
V162,L01,Motorista 11,Bairro A,19:00,57
V163,L02,Motorista 11,Rodoviária,12:00,18
V164,L02,Motorista 02,Centro,19:00,38
V165,L02,Motorista 03,Centro,08:00,23
V166,L01,Motorista 11,Centro,17:30,25
V167,L04,Motorista 06,Bairro A,19:00,40
V168,L05,Motorista 02,Universidade,12:00,17
V169,L01,Motorista 10,Centro,17:30,41
V170,L02,Motorista 14,Bairro A,19:00,17
V171,L04,Motorista 14,Bairro A,12:00,16
V172,L01,Motorista 11,Bairro B,17:30,58
V173,L05,Motorista 04,Rodoviária,06:30,41
V174,L04,Motorista 12,Bairro B,17:30,29
V175,L05,Motorista 13,Centro,08:00,30
V176,L01,Motorista 04,Bairro B,19:00,26
V177,L03,Motorista 03,Universidade,06:30,33
V178,L05,Motorista 12,Universidade,12:00,9
V179,L02,Motorista 09,Bairro B,06:30,33
V180,L02,Motorista 07,Rodoviária,06:30,26
V101,L02,Motorista 08,Universidade,12:00,41
V102,L02,Motorista 13,Bairro B,12:00,29
V103,L02,Motorista 02,Universidade,12:00,54
V104,L04,Motorista 11,Bairro A,08:00,68
V105,L02,Motorista 01,Rodoviária,08:00,38
