id_publicacao,usuario,hashtag,curtidas,comentarios
P069,Usuario 16,#tecnologia,19,8
P070,Usuario 25,#esportes,3,29
P071,Usuario 03,#games,2,82
P072,Usuario 40,#tecnologia,103,104
P073,Usuario 23,#esportes,453,74
P074,Usuario 09,#viagem,292,111
P075,Usuario 39,#tecnologia,101,10
P076,Usuario 25,#estudos,218,36
P077,Usuario 49,#python,170,113
P078,Usuario 32,#esportes,448,13
P079,Usuario 11,#cinema,182,115
P080,Usuario 02,#tecnologia,208,104
P081,Usuario 06,#tecnologia,101,17
P082,Usuario 13,#games,36,22
P083,Usuario 26,#viagem,339,101
P084,Usuario 14,#games,451,22
P085,Usuario 31,#cinema,132,120
P086,Usuario 27,#esportes,7,74
P087,Usuario 02,#python,480,108
P088,Usuario 45,#cinema,315,11
P089,Usuario 35,#musica,75,112
P090,Usuario 28,#estudos,0,101
P091,Usuario 30,#tecnologia,233,74
P092,Usuario 34,#viagem,360,22
P093,Usuario 44,#games,480,98
P094,Usuario 20,#games,52,13
P095,Usuario 31,#esportes,286,54
P096,Usuario 16,#viagem,15,20
P097,Usuario 31,#viagem,47,38
P098,Usuario 20,#viagem,127,101
P099,Usuario 43,#estudos,417,11
P100,Usuario 49,#musica,471,119
P101,Usuario 40,#python,292,109
P102,Usuario 48,#tecnologia,46,99
P103,Usuario 47,#games,404,119
P104,Usuario 47,#tecnologia,110,107
P105,Usuario 42,#musica,136,58
P106,Usuario 38,#viagem,48,75
P107,Usuario 16,#musica,76,77
P108,Usuario 08,#python,250,3
P109,Usuario 03,#games,353,66
P110,Usuario 47,#python,410,48
P111,Usuario 34,#estudos,465,30
P112,Usuario 06,#tecnologia,466,3
P113,Usuario 07,#musica,360,34
P114,Usuario 14,#python,17,85
P115,Usuario 23,#tecnologia,65,86
P116,Usuario 48,#viagem,411,6
P117,Usuario 44,#python,406,50
P118,Usuario 41,#estudos,346,61
P119,Usuario 31,#tecnologia,458,90
P120,Usuario 14,#games,273,47
P121,Usuario 45,#musica,111,7
P122,Usuario 09,#games,392,41
P123,Usuario 36,#python,221,70
P124,Usuario 37,#cinema,304,73
P125,Usuario 41,#tecnologia,187,24
P126,Usuario 33,#musica,106,76
P127,Usuario 13,#esportes,18,18
P128,Usuario 26,#cinema,114,72
P129,Usuario 42,#python,344,28
P130,Usuario 18,#estudos,37,21
P131,Usuario 37,#estudos,280,108
P132,Usuario 09,#esportes,25,99
P133,Usuario 46,#musica,171,75
P134,Usuario 37,#python,425,64
P135,Usuario 07,#python,26,105
P136,Usuario 30,#esportes,255,3
P137,Usuario 26,#cinema,167,66
P138,Usuario 04,#esportes,341,23
P139,Usuario 27,#tecnologia,121,4
P140,Usuario 12,#tecnologia,411,76
P141,Usuario 15,#viagem,414,21
P142,Usuario 37,#viagem,439,8
P143,Usuario 21,#musica,435,38
P144,Usuario 31,#musica,373,112
P145,Usuario 48,#python,99,25
P146,Usuario 13,#esportes,311,1
P147,Usuario 37,#tecnologia,195,10
P148,Usuario 49,#games,216,26
P149,Usuario 41,#games,96,5
P150,Usuario 31,#viagem,73,111
P151,Usuario 30,#viagem,353,90
P152,Usuario 45,#cinema,213,106
P153,Usuario 25,#musica,69,2
P154,Usuario 02,#musica,72,6
P155,Usuario 36,#viagem,154,90
P156,Usuario 45,#games,484,30
P157,Usuario 02,#cinema,423,71
P158,Usuario 09,#estudos,107,118
P159,Usuario 40,#viagem,97,77
P160,Usuario 28,#estudos,18,89
P161,Usuario 18,#viagem,371,86
P162,Usuario 28,#cinema,311,105
P163,Usuario 41,#tecnologia,103,37
P164,Usuario 38,#games,218,97
P165,Usuario 46,#tecnologia,311,57
P166,Usuario 01,#musica,198,99
P167,Usuario 37,#tecnologia,161,105
P168,Usuario 14,#estudos,209,3
P169,Usuario 29,#python,323,10
P170,Usuario 27,#esportes,298,45
P171,Usuario 14,#cinema,297,73
P172,Usuario 07,#estudos,209,117
P173,Usuario 45,#esportes,49,58
P174,Usuario 20,#python,391,29
P175,Usuario 50,#cinema,129,20
P176,Usuario 45,#musica,84,0
P177,Usuario 43,#estudos,382,11
P178,Usuario 05,#games,401,95
P179,Usuario 48,#estudos,283,6
P180,Usuario 18,#cinema,359,19
P066,Usuario 47,#esportes,157,114
P067,Usuario 44,#cinema,399,80
P068,Usuario 02,#musica,189,28
P069,Usuario 16,#tecnologia,19,8
P070,Usuario 25,#esportes,3,29
