id_emprestimo,aluno,id_livro,data_emprestimo,status
E135,Leitor 20,L07,2026-03-19,Atrasado
E136,Leitor 30,L02,2026-06-02,Devolvido
E137,Leitor 14,L08,2026-02-03,Atrasado
E138,Leitor 40,L02,2026-03-25,Atrasado
E139,Leitor 14,L04,2026-03-22,Atrasado
E140,Leitor 40,L02,2026-03-30,Devolvido
E141,Leitor 40,L03,2026-03-30,Atrasado
E142,Leitor 03,L06,2026-06-27,Devolvido
E143,Leitor 37,L04,2026-02-13,Em aberto
E144,Leitor 23,L08,2026-07-28,Devolvido
E145,Leitor 17,L06,2026-04-30,Atrasado
E146,Leitor 07,L06,2026-04-27,Atrasado
E147,Leitor 04,L04,2026-06-09,Devolvido
E148,Leitor 24,L03,2026-03-26,Em aberto
E149,Leitor 37,L07,2026-05-22,Devolvido
E150,Leitor 04,L01,2026-05-11,Atrasado
E031,Leitor 32,L02,2026-07-29,Atrasado
E032,Leitor 21,L07,2026-05-30,Devolvido
E033,Leitor 18,L06,2026-07-23,Atrasado
E034,Leitor 38,L04,2026-02-05,Atrasado
