reserva_id,cliente_id,destino_id,dias,status,valor
R0077,C021,D011,7,Confirmada,1874.82
R0078,C048,D011,1,Cancelada,2790.71
R0079,C056,D012,1,Concluída,1553.44
R0080,C021,D010,5,Confirmada,5019.04
R0081,C023,D008,7,Cancelada,597.24
R0082,C007,D010,6,Cancelada,4589.96
R0083,C055,D012,2,Confirmada,4906.27
R0084,C020,D008,5,Cancelada,1756.29
R0085,C008,D003,2,Concluída,5557.25
R0086,C009,D001,6,Concluída,4282.61
R0087,C015,D003,2,Cancelada,5204.3
R0088,C008,D007,5,Cancelada,5929.89
R0089,C053,D004,6,Cancelada,3230.1
R0090,C034,D002,4,Concluída,5070.48
R0091,C052,D004,2,Cancelada,658.81
R0092,C009,D001,5,Confirmada,4730.3
R0093,C046,D005,4,Confirmada,5627.73
R0094,C014,D001,3,Cancelada,5375.17
R0095,C058,D009,3,Concluída,4920.2
R0096,C003,D010,2,Concluída,1597.59
R0097,C004,D012,5,Concluída,5079.79
R0098,C053,D011,1,Confirmada,5213.75
R0099,C015,D007,5,Confirmada,3130.78
R0100,C044,D007,1,Concluída,1470.68
R0101,C028,D009,1,Cancelada,3946.03
R0102,C037,D012,1,Concluída,1858.93
R0103,C039,D003,3,Confirmada,3362.64
R0104,C025,D001,6,Concluída,2438.71
R0105,C010,D011,2,Confirmada,5146.1
R0106,C021,D012,1,Confirmada,1328.43
R0107,C019,D009,3,Confirmada,1819.41
R0108,C056,D002,4,Concluída,5837.76
R0109,C045,D007,2,Concluída,4233.11
R0110,C049,D005,7,Confirmada,5068.11
R0111,C043,D006,4,Confirmada,3359.59
R0112,C037,D012,1,Concluída,2073.22
R0113,C030,D001,3,Confirmada,2444.4
R0114,C038,D003,4,Concluída,5082.54
R0115,C007,D001,4,Concluída,4027.93
R0116,C056,D008,5,Cancelada,2806.93
R0117,C019,D003,2,Concluída,3229.12
R0118,C045,D011,2,Confirmada,1631.85
R0119,C017,D008,3,Cancelada,4751.64
R0120,C028,D005,3,Concluída,2784.68
R0121,C039,D009,6,Confirmada,3732.75
R0122,C055,D010,2,Confirmada,700.22
R0123,C036,D011,1,Confirmada,5250.68
R0124,C008,D004,5,Concluída,4392.97
R0125,C031,D007,7,Concluída,2743.0
R0126,C040,D007,6,Concluída,5619.03
R0127,C029,D010,1,Cancelada,1554.14
R0128,C051,D002,6,Concluída,5823.27
R0129,C042,D012,2,Confirmada,1588.69
R0130,C056,D002,3,Confirmada,5470.24
R0131,C021,D001,1,Cancelada,5215.79
R0132,C055,D010,1,Cancelada,5907.23
R0133,C018,D001,5,Confirmada,1636.74
R0134,C056,D012,7,Confirmada,1462.31
R0135,C014,D009,7,Concluída,4442.0
R0136,C059,D002,4,Concluída,4949.44
R0137,C012,D002,2,Concluída,2630.38
R0138,C018,D005,7,Concluída,4825.35
R0139,C003,D004,6,Concluída,5897.15
R0140,C005,D003,5,Concluída,3520.4
R0141,C036,D009,5,Confirmada,3980.35
R0142,C025,D001,2,Cancelada,3395.02
R0143,C033,D001,2,Cancelada,1223.03
R0144,C023,D012,7,Concluída,5520.16
R0145,C032,D001,7,Concluída,4977.24
R0146,C011,D011,4,Cancelada,3882.36
R0147,C002,D007,2,Concluída,603.22
R0148,C011,D001,5,Confirmada,3576.13
R0149,C016,D005,6,Confirmada,3582.44
R0150,C024,D003,1,Concluída,3873.74
R0151,C048,D007,3,Confirmada,5298.88
R0152,C017,D011,1,Confirmada,4321.42
R0153,C032,D005,1,Cancelada,3791.56
R0154,C001,D003,1,Concluída,3457.61
R0155,C004,D009,7,Concluída,1254.18
R0156,C022,D010,2,Concluída,5149.0
R0157,C055,D012,5,Cancelada,5953.33
R0158,C028,D009,4,Confirmada,711.65
R0159,C043,D012,7,Concluída,4097.18
R0160,C032,D004,1,Concluída,2702.92
R0161,C030,D006,6,Concluída,1872.04
R0162,C002,D001,6,Concluída,4792.94
R0163,C020,D004,7,Cancelada,3723.49
R0164,C020,D009,7,Confirmada,3517.83
R0165,C027,D003,6,Concluída,5923.1
R0166,C045,D001,1,Concluída,3916.24
R0167,C021,D005,5,Cancelada,860.81
R0168,C045,D010,1,Concluída,5014.27
R0169,C028,D012,3,Confirmada,2440.15
R0170,C035,D007,7,Concluída,4830.89
R0171,C050,D005,6,Cancelada,4465.16
R0172,C003,D007,4,Cancelada,1245.34
R0173,C006,D011,7,Confirmada,2836.3
R0174,C017,D001,4,Cancelada,1166.89
R0175,C004,D008,2,Confirmada,5161.47
R0176,C004,D001,7,Cancelada,2685.66
R0177,C004,D005,3,Concluída,1288.83
R0178,C041,D004,2,Confirmada,4316.29
R0179,C059,D007,3,Confirmada,2673.79
R0180,C022,D002,1,Cancelada,3999.65
R0026,C046,D002,2,Concluída,4444.22
R0027,C031,D002,6,Confirmada,848.1
R0028,C034,D006,1,Confirmada,2282.06
R0029,C035,D011,1,Concluída,3798.93
R0030,C046,D004,3,Cancelada,2720.75
