id_partida,jogador,gols,condicao
J036,Jogador 12,0,Titular
J037,Jogador 29,0,Titular
J037,Jogador 26,1,Titular
J037,Jogador 25,0,Reserva
J037,Jogador 28,2,Titular
J037,Jogador 27,1,Titular
J038,Jogador 07,0,Titular
J038,Jogador 11,1,Titular
J038,Jogador 09,1,Titular
J038,Jogador 10,1,Reserva
J038,Jogador 12,0,Reserva
J039,Jogador 35,2,Reserva
J039,Jogador 32,1,Reserva
J039,Jogador 33,2,Reserva
J040,Jogador 31,0,Reserva
J040,Jogador 34,0,Titular
J040,Jogador 33,2,Reserva
J040,Jogador 32,0,Reserva
J040,Jogador 35,2,Reserva
J041,Jogador 30,1,Titular
J041,Jogador 27,1,Reserva
J041,Jogador 25,1,Titular
J042,Jogador 03,1,Titular
J042,Jogador 05,2,Reserva
J042,Jogador 01,1,Reserva
J042,Jogador 04,1,Titular
J042,Jogador 02,2,Titular
J042,Jogador 06,1,Titular
J043,Jogador 28,2,Titular
J043,Jogador 26,1,Titular
J043,Jogador 27,1,Reserva
J044,Jogador 30,1,Reserva
J044,Jogador 25,0,Titular
J044,Jogador 27,2,Reserva
J044,Jogador 29,2,Reserva
J044,Jogador 28,1,Titular
J044,Jogador 26,1,Titular
J045,Jogador 30,1,Titular
J045,Jogador 27,0,Reserva
J045,Jogador 25,1,Reserva
J045,Jogador 28,1,Titular
J045,Jogador 26,2,Reserva
J046,Jogador 35,1,Reserva
J046,Jogador 34,0,Reserva
J046,Jogador 33,1,Titular
J046,Jogador 32,1,Titular
J046,Jogador 36,1,Titular
J047,Jogador 27,1,Titular
J047,Jogador 28,2,Titular
J047,Jogador 25,1,Titular
J047,Jogador 26,0,Reserva
J047,Jogador 30,1,Reserva
J047,Jogador 29,0,Titular
J048,Jogador 14,2,Reserva
J048,Jogador 17,1,Reserva
J048,Jogador 13,2,Reserva
J048,Jogador 16,0,Reserva
J049,Jogador 40,1,Titular
J049,Jogador 37,2,Titular
J049,Jogador 41,0,Titular
J049,Jogador 42,0,Reserva
J049,Jogador 39,1,Titular
J050,Jogador 06,2,Reserva
J050,Jogador 03,1,Reserva
J050,Jogador 02,2,Titular
J050,Jogador 04,1,Titular
J050,Jogador 05,2,Titular
J051,Jogador 27,1,Titular
J051,Jogador 25,2,Titular
J051,Jogador 28,1,Titular
J051,Jogador 26,1,Reserva
J051,Jogador 29,2,Reserva
J051,Jogador 30,2,Reserva
J052,Jogador 12,0,Titular
J052,Jogador 08,0,Titular
J052,Jogador 07,0,Titular
J052,Jogador 10,0,Reserva
J053,Jogador 47,2,Reserva
J053,Jogador 48,1,Titular
J053,Jogador 44,1,Reserva
J054,Jogador 22,2,Titular
J054,Jogador 19,0,Reserva
J054,Jogador 21,1,Titular
J054,Jogador 20,1,Titular
J054,Jogador 24,1,Reserva
J054,Jogador 23,1,Reserva
J055,Jogador 23,0,Titular
J055,Jogador 19,1,Reserva
J055,Jogador 21,0,Reserva
J055,Jogador 24,1,Titular
J056,Jogador 01,1,Titular
J056,Jogador 06,1,Titular
J056,Jogador 04,1,Reserva
J056,Jogador 05,0,Titular
J057,Jogador 05,1,Titular
J057,Jogador 03,0,Titular
J057,Jogador 04,1,Reserva
J057,Jogador 01,1,Reserva
J057,Jogador 06,0,Titular
J058,Jogador 14,2,Titular
J058,Jogador 15,0,Reserva
J058,Jogador 17,2,Reserva
J058,Jogador 18,1,Reserva
J059,Jogador 17,1,Titular
J059,Jogador 14,1,Titular
J059,Jogador 18,2,Reserva
J060,Jogador 10,2,Reserva
J060,Jogador 08,2,Reserva
J060,Jogador 11,0,Reserva
J061,Jogador 44,2,Titular
J061,Jogador 47,1,Titular
J061,Jogador 48,2,Titular
J061,Jogador 46,2,Titular
J061,Jogador 45,2,Titular
J062,Jogador 24,2,Titular
J062,Jogador 21,1,Reserva
J062,Jogador 23,1,Reserva
J062,Jogador 22,0,Reserva
J063,Jogador 34,0,Titular
J063,Jogador 35,1,Reserva
J063,Jogador 31,0,Reserva
J063,Jogador 32,0,Titular
J063,Jogador 36,2,Titular
J064,Jogador 29,0,Reserva
J064,Jogador 28,2,Reserva
J064,Jogador 25,1,Titular
J064,Jogador 26,2,Reserva
J064,Jogador 27,0,Titular
J065,Jogador 12,2,Titular
J065,Jogador 07,1,Titular
J065,Jogador 09,0,Titular
J066,Jogador 35,2,Reserva
J066,Jogador 33,2,Titular
J066,Jogador 32,1,Reserva
J066,Jogador 31,2,Reserva
J066,Jogador 34,0,Titular
J067,Jogador 24,1,Titular
J067,Jogador 21,1,Reserva
J067,Jogador 22,0,Reserva
J067,Jogador 23,0,Reserva
J067,Jogador 19,2,Reserva
J067,Jogador 20,0,Titular
J068,Jogador 06,2,Reserva
J068,Jogador 05,2,Reserva
J068,Jogador 02,1,Reserva
J068,Jogador 01,1,Titular
J069,Jogador 31,2,Reserva
J069,Jogador 34,1,Reserva
J069,Jogador 36,1,Reserva
J069,Jogador 35,0,Titular
J069,Jogador 32,2,Titular
J070,Jogador 31,0,Titular
J070,Jogador 33,1,Titular
J070,Jogador 32,0,Reserva
J070,Jogador 34,0,Reserva
J070,Jogador 36,2,Titular
J070,Jogador 35,2,Titular
J071,Jogador 46,0,Titular
J071,Jogador 47,1,Titular
J071,Jogador 48,2,Titular
J071,Jogador 45,0,Titular
J071,Jogador 44,2,Titular
J071,Jogador 43,2,Titular
J072,Jogador 02,0,Titular
J072,Jogador 03,0,Titular
J072,Jogador 05,0,Reserva
J072,Jogador 06,2,Titular
J072,Jogador 01,1,Titular
J072,Jogador 04,1,Titular
J073,Jogador 13,0,Reserva
J073,Jogador 18,2,Titular
J073,Jogador 17,1,Reserva
J073,Jogador 16,1,Reserva
J074,Jogador 35,0,Titular
J074,Jogador 32,2,Titular
J074,Jogador 33,0,Reserva
J074,Jogador 34,0,Titular
J074,Jogador 36,2,Titular
J074,Jogador 31,0,Reserva
J075,Jogador 07,0,Reserva
J075,Jogador 11,1,Titular
J075,Jogador 10,1,Titular
J076,Jogador 02,2,Reserva
J076,Jogador 05,2,Reserva
J076,Jogador 03,1,Reserva
J076,Jogador 01,2,Reserva
J076,Jogador 06,1,Titular
J077,Jogador 17,2,Reserva
J077,Jogador 18,2,Reserva
J077,Jogador 14,2,Reserva
J078,Jogador 15,2,Titular
J078,Jogador 16,2,Titular
J078,Jogador 13,2,Reserva
J078,Jogador 14,0,Reserva
J079,Jogador 03,2,Reserva
J079,Jogador 05,0,Reserva
J079,Jogador 06,1,Reserva
J080,Jogador 44,2,Reserva
J080,Jogador 48,2,Reserva
J080,Jogador 46,2,Titular
J080,Jogador 45,1,Reserva
J080,Jogador 47,2,Titular
J080,Jogador 43,2,Titular
J005,Jogador 37,0,Titular
J005,Jogador 39,1,Titular
J006,Jogador 08,1,Reserva
J006,Jogador 09,1,Titular
J006,Jogador 12,1,Titular
