id_visualizacao,usuario,id_conteudo,visualizacoes,avaliacao
V154,Usuario 09,C08,7,9.3
V155,Usuario 30,C02,5,5.8
V156,Usuario 01,C06,7,6.6
V157,Usuario 26,C03,2,6.7
V158,Usuario 19,C06,5,8.7
V159,Usuario 14,C07,4,9.1
V160,Usuario 24,C05,2,5.6
V161,Usuario 03,C01,8,6.4
V162,Usuario 06,C01,5,9.6
V163,Usuario 39,C04,7,9.7
V164,Usuario 27,C07,6,6.2
V165,Usuario 14,C01,1,7.3
V166,Usuario 36,C02,2,8.1
V167,Usuario 07,C05,8,9.4
V168,Usuario 38,C01,8,5.5
V169,Usuario 39,C08,8,5.3
V170,Usuario 21,C01,7,9.5
V171,Usuario 11,C02,4,9.9
V172,Usuario 14,C03,1,8.9
V173,Usuario 05,C02,4,9.9
V174,Usuario 25,C02,6,7.5
V175,Usuario 36,C08,4,7.1
V176,Usuario 07,C02,2,6.8
V177,Usuario 20,C07,5,8.2
V178,Usuario 36,C02,2,7.6
V179,Usuario 32,C06,1,8.1
V180,Usuario 15,C03,7,6.8
V051,Usuario 07,C03,7,5.6
V052,Usuario 16,C01,4,5.1
V053,Usuario 05,C06,6,6.4
V054,Usuario 28,C05,7,6.5
V055,Usuario 26,C07,8,5.4
