id_reproducao,usuario,id_musica,quantidade
R102,Ouvinte 10,M05,6
R103,Ouvinte 02,M12,4
R104,Ouvinte 12,M01,19
R105,Ouvinte 36,M09,9
R106,Ouvinte 19,M09,17
R107,Ouvinte 36,M04,2
R108,Ouvinte 39,M02,7
R109,Ouvinte 27,M10,8
R110,Ouvinte 36,M09,16
R111,Ouvinte 04,M08,12
R112,Ouvinte 18,M04,18
R113,Ouvinte 10,M04,1
R114,Ouvinte 30,M12,1
R115,Ouvinte 01,M07,6
R116,Ouvinte 24,M04,3
R117,Ouvinte 29,M06,12
R118,Ouvinte 31,M09,12
R119,Ouvinte 34,M02,16
R120,Ouvinte 06,M05,4
R121,Ouvinte 08,M06,20
R122,Ouvinte 09,M05,18
R123,Ouvinte 42,M02,11
R124,Ouvinte 13,M05,18
R125,Ouvinte 33,M04,19
R126,Ouvinte 04,M06,3
R127,Ouvinte 25,M05,19
R128,Ouvinte 40,M09,20
R129,Ouvinte 40,M09,10
R130,Ouvinte 01,M01,16
R131,Ouvinte 33,M12,11
R132,Ouvinte 26,M08,10
R133,Ouvinte 11,M02,16
R134,Ouvinte 15,M05,10
R135,Ouvinte 10,M03,12
R136,Ouvinte 04,M12,15
R137,Ouvinte 30,M03,11
R138,Ouvinte 21,M08,2
R139,Ouvinte 26,M08,4
R140,Ouvinte 28,M07,6
R141,Ouvinte 31,M07,1
R142,Ouvinte 35,M01,10
R143,Ouvinte 06,M06,2
R144,Ouvinte 46,M10,19
R145,Ouvinte 42,M03,14
R146,Ouvinte 36,M07,16
R147,Ouvinte 25,M06,6
R148,Ouvinte 33,M05,5
R149,Ouvinte 09,M02,15
R150,Ouvinte 41,M07,7
R151,Ouvinte 46,M10,19
R152,Ouvinte 07,M01,3
R153,Ouvinte 28,M05,6
R154,Ouvinte 32,M08,10
R155,Ouvinte 05,M05,2
R156,Ouvinte 45,M10,4
R157,Ouvinte 19,M09,11
R158,Ouvinte 05,M05,10
R159,Ouvinte 13,M05,15
R160,Ouvinte 22,M06,12
R161,Ouvinte 25,M06,9
R162,Ouvinte 07,M04,9
R163,Ouvinte 42,M10,7
R164,Ouvinte 13,M06,11
R165,Ouvinte 41,M11,14
R166,Ouvinte 12,M05,15
R167,Ouvinte 42,M06,12
R168,Ouvinte 15,M10,12
R169,Ouvinte 34,M09,17
R170,Ouvinte 38,M06,11
R171,Ouvinte 11,M08,2
R172,Ouvinte 28,M06,12
R173,Ouvinte 14,M01,11
R174,Ouvinte 22,M08,2
R175,Ouvinte 10,M04,6
R176,Ouvinte 06,M01,17
R177,Ouvinte 44,M09,5
R178,Ouvinte 42,M08,2
R179,Ouvinte 36,M11,10
R180,Ouvinte 23,M05,9
R181,Ouvinte 38,M04,16
R182,Ouvinte 38,M02,12
R183,Ouvinte 43,M08,20
R184,Ouvinte 50,M01,20
R185,Ouvinte 29,M11,12
R186,Ouvinte 11,M11,18
R187,Ouvinte 21,M12,1
R188,Ouvinte 44,M06,8
R189,Ouvinte 27,M05,17
R190,Ouvinte 02,M11,11
R081,Ouvinte 45,M05,4
R082,Ouvinte 06,M08,1
R083,Ouvinte 29,M03,2
R084,Ouvinte 20,M06,14
R085,Ouvinte 07,M07,12
