id_reserva,hospede,id_quarto,entrada,saida,quantidade_hospedes,status
R115,Hospede 26,Q08,2026-05-09,2026-05-10,1,Confirmada
R116,Hospede 36,Q05,2026-06-14,2026-06-21,4,Cancelada
R117,Hospede 33,Q01,2026-04-29,2026-04-30,2,Cancelada
R118,Hospede 23,Q06,2026-04-17,2026-04-19,5,Confirmada
R119,Hospede 16,Q03,2026-01-14,2026-01-20,1,Cancelada
R120,Hospede 39,Q05,2026-04-26,2026-05-01,1,Finalizada
R121,Hospede 11,Q03,2026-06-07,2026-06-10,1,Confirmada
R122,Hospede 29,Q08,2026-03-20,2026-03-25,4,Finalizada
R123,Hospede 41,Q08,2026-02-10,2026-02-12,1,Cancelada
R124,Hospede 43,Q05,2026-04-04,2026-04-12,4,Finalizada
R125,Hospede 16,Q05,2026-07-08,2026-07-12,3,Cancelada
R126,Hospede 27,Q03,2026-03-06,2026-03-08,2,Cancelada
R127,Hospede 42,Q06,2026-05-27,2026-06-01,3,Confirmada
R128,Hospede 44,Q08,2026-01-14,2026-01-20,1,Confirmada
R129,Hospede 17,Q02,2026-06-24,2026-07-02,2,Cancelada
R130,Hospede 13,Q05,2026-03-26,2026-03-28,4,Finalizada
R131,Hospede 37,Q08,2026-04-17,2026-04-25,1,Finalizada
R132,Hospede 38,Q02,2026-03-16,2026-03-20,1,Confirmada
R133,Hospede 49,Q03,2026-05-07,2026-05-13,2,Confirmada
R134,Hospede 02,Q02,2026-01-26,2026-02-03,2,Cancelada
R135,Hospede 33,Q07,2026-03-13,2026-03-20,4,Confirmada
R136,Hospede 24,Q04,2026-05-31,2026-06-01,3,Cancelada
R137,Hospede 03,Q02,2026-03-05,2026-03-11,1,Confirmada
R138,Hospede 03,Q05,2026-05-24,2026-05-30,4,Confirmada
R139,Hospede 17,Q05,2026-01-27,2026-02-03,1,Finalizada
R140,Hospede 08,Q01,2026-06-28,2026-07-06,1,Confirmada
R141,Hospede 28,Q01,2026-04-15,2026-04-22,2,Cancelada
R142,Hospede 33,Q03,2026-04-29,2026-05-03,1,Cancelada
R143,Hospede 42,Q01,2026-07-12,2026-07-17,2,Confirmada
R144,Hospede 31,Q07,2026-05-05,2026-05-09,1,Cancelada
R145,Hospede 04,Q06,2026-05-17,2026-05-24,5,Finalizada
R146,Hospede 17,Q01,2026-04-18,2026-04-26,1,Confirmada
R147,Hospede 26,Q08,2026-01-27,2026-02-02,3,Confirmada
R148,Hospede 40,Q01,2026-02-08,2026-02-11,1,Confirmada
R149,Hospede 16,Q05,2026-06-27,2026-06-29,4,Cancelada
R150,Hospede 44,Q01,2026-03-08,2026-03-15,2,Confirmada
R151,Hospede 34,Q05,2026-05-13,2026-05-20,4,Cancelada
R152,Hospede 13,Q05,2026-03-16,2026-03-19,5,Confirmada
R153,Hospede 49,Q08,2026-06-01,2026-06-08,4,Confirmada
R154,Hospede 31,Q08,2026-03-13,2026-03-20,3,Finalizada
R155,Hospede 20,Q03,2026-02-21,2026-02-26,1,Confirmada
R156,Hospede 26,Q06,2026-02-11,2026-02-16,4,Confirmada
R157,Hospede 36,Q03,2026-02-12,2026-02-15,1,Confirmada
R158,Hospede 47,Q05,2026-02-23,2026-02-27,2,Cancelada
R159,Hospede 07,Q06,2026-07-06,2026-07-07,5,Cancelada
R160,Hospede 15,Q01,2026-07-10,2026-07-15,1,Confirmada
R026,Hospede 38,Q08,2026-02-19,2026-02-25,4,Confirmada
R027,Hospede 08,Q05,2026-02-24,2026-02-28,3,Finalizada
R028,Hospede 22,Q04,2026-03-21,2026-03-26,2,Cancelada
R029,Hospede 11,Q01,2026-05-03,2026-05-06,1,Confirmada
R030,Hospede 40,Q08,2026-02-27,2026-03-01,1,Confirmada
