id_pedido,cliente,id_produto,quantidade,valor_unitario,status,data
P093,Cliente 34,P02,4,2400,Pago,2026-01-01
P094,Cliente 09,P01,5,3500,Entregue,2026-07-15
P095,Cliente 12,P01,2,3500,Enviado,2026-04-17
P096,Cliente 06,P03,5,80,Cancelado,2026-07-14
P097,Cliente 30,P04,2,220,Entregue,2026-01-03
P098,Cliente 23,P06,5,1800,Entregue,2026-05-24
P099,Cliente 01,P05,4,900,Cancelado,2026-04-16
P100,Cliente 28,P02,2,2400,Pago,2026-06-13
P101,Cliente 11,P02,5,2400,Pago,2026-06-11
P102,Cliente 02,P05,2,900,Entregue,2026-04-11
P103,Cliente 15,P04,5,220,Pago,2026-04-30
P104,Cliente 36,P04,4,220,Entregue,2026-03-19
P105,Cliente 39,P05,5,900,Entregue,2026-05-30
P106,Cliente 08,P04,5,220,Entregue,2026-04-15
P107,Cliente 16,P04,3,220,Enviado,2026-05-02
P108,Cliente 38,P01,3,3500,Enviado,2026-03-06
P109,Cliente 43,P03,2,80,Entregue,2026-03-06
P110,Cliente 03,P08,3,190,Pago,2026-03-25
P111,Cliente 19,P01,5,3500,Entregue,2026-04-17
P112,Cliente 35,P01,1,3500,Pago,2026-02-28
P113,Cliente 38,P02,3,2400,Enviado,2026-06-16
P114,Cliente 32,P06,4,1800,Pago,2026-06-11
P115,Cliente 11,P01,4,3500,Pago,2026-03-27
P116,Cliente 30,P08,5,190,Enviado,2026-01-29
P117,Cliente 26,P02,2,2400,Entregue,2026-05-01
P118,Cliente 43,P07,2,150,Enviado,2026-07-03
P119,Cliente 28,P04,5,220,Pago,2026-01-13
P120,Cliente 30,P08,2,190,Entregue,2026-03-08
P121,Cliente 02,P02,5,2400,Cancelado,2026-01-03
P122,Cliente 43,P07,4,150,Entregue,2026-06-16
P123,Cliente 34,P04,1,220,Entregue,2026-02-06
P124,Cliente 42,P03,1,80,Cancelado,2026-03-25
P125,Cliente 05,P06,3,1800,Cancelado,2026-06-07
P126,Cliente 45,P03,3,80,Enviado,2026-02-14
P127,Cliente 20,P02,2,2400,Cancelado,2026-05-05
P128,Cliente 42,P02,3,2400,Enviado,2026-06-11
P129,Cliente 08,P08,2,190,Entregue,2026-03-27
P130,Cliente 11,P08,1,190,Enviado,2026-02-06
P131,Cliente 47,P07,2,150,Cancelado,2026-04-27
P132,Cliente 36,P05,2,900,Enviado,2026-04-25
P133,Cliente 40,P05,2,900,Entregue,2026-06-19
P134,Cliente 48,P05,4,900,Cancelado,2026-04-01
P135,Cliente 20,P05,5,900,Cancelado,2026-06-13
P136,Cliente 32,P04,1,220,Pago,2026-06-28
P137,Cliente 36,P04,4,220,Pago,2026-02-24
P138,Cliente 10,P07,1,150,Cancelado,2026-02-26
P139,Cliente 08,P03,4,80,Entregue,2026-05-08
P140,Cliente 02,P07,1,150,Cancelado,2026-04-21
P141,Cliente 35,P01,3,3500,Cancelado,2026-08-07
P142,Cliente 05,P03,5,80,Cancelado,2026-04-08
P143,Cliente 40,P03,2,80,Enviado,2026-02-02
P144,Cliente 10,P02,5,2400,Enviado,2026-07-28
P145,Cliente 44,P04,2,220,Entregue,2026-06-11
P146,Cliente 02,P02,1,2400,Entregue,2026-07-28
P147,Cliente 13,P05,5,900,Entregue,2026-07-24
P148,Cliente 19,P03,3,80,Entregue,2026-08-05
P149,Cliente 15,P03,2,80,Entregue,2026-08-05
P150,Cliente 38,P02,4,2400,Pago,2026-06-10
P151,Cliente 02,P03,1,80,Entregue,2026-08-07
P152,Cliente 39,P06,4,1800,Entregue,2026-03-26
P153,Cliente 17,P06,4,1800,Pago,2026-01-07
P154,Cliente 19,P07,2,150,Entregue,2026-05-29
P155,Cliente 11,P07,3,150,Entregue,2026-07-30
P156,Cliente 40,P04,1,220,Pago,2026-01-29
P157,Cliente 05,P04,2,220,Enviado,2026-05-13
P158,Cliente 47,P04,4,220,Cancelado,2026-04-03
P159,Cliente 10,P03,2,80,Cancelado,2026-03-31
P160,Cliente 01,P03,2,80,Entregue,2026-04-22
P161,Cliente 40,P05,3,900,Cancelado,2026-08-05
P162,Cliente 38,P03,1,80,Enviado,2026-02-12
P163,Cliente 05,P01,1,3500,Pago,2026-02-28
P164,Cliente 31,P04,5,220,Pago,2026-02-24
P165,Cliente 41,P04,2,220,Enviado,2026-07-09
P166,Cliente 30,P05,4,900,Cancelado,2026-08-05
P167,Cliente 09,P05,1,900,Cancelado,2026-02-12
P168,Cliente 15,P08,2,190,Enviado,2026-04-15
P169,Cliente 42,P01,5,3500,Pago,2026-06-08
P170,Cliente 29,P01,1,3500,Pago,2026-03-28
P041,Cliente 18,P03,3,80,Cancelado,2026-05-11
P042,Cliente 46,P08,3,190,Entregue,2026-01-23
P043,Cliente 34,P01,4,3500,Cancelado,2026-01-27
P044,Cliente 39,P04,2,220,Entregue,2026-08-06
P045,Cliente 45,P05,2,900,Pago,2026-05-28
